signal,n_unique_commits,spearman_final,commit_bootstrap_ci95_lower,commit_bootstrap_ci95_upper
main_256,36,0.5236674208649846,0.18013662976017505,0.7878317710762222
main_512,36,0.7137521328156032,0.4162003939016679,0.9079552252002969
main_1024,36,0.8489861620421595,0.6909019694332631,0.9206179417550946
control_fitness,36,0.8980432618182312,0.7495187923327774,0.969340257644517
probe_fitness,36,0.904531994335007,0.7661508968321648,0.9694236820205033
fork_effect,36,0.13413143070403863,-0.25418690537549227,0.5246229885660767
probe_minus_control_correlation,36,0.00648873251677573,-0.055446779733670216,0.07449376100685047
