commit,campaign,campaigns,group_ids,replicates,main_256,main_256_replicate_sd,main_512,main_512_replicate_sd,main_1024,main_1024_replicate_sd,control_fitness,control_fitness_replicate_sd,probe_fitness,probe_fitness_replicate_sd,fork_effect,fork_effect_replicate_sd,final_fitness,final_fitness_replicate_sd,future_gain_from_control,future_gain_from_control_replicate_sd
b3a210ded839250e22eb148718fc9d401ec90052,fork-to-zero-mechanism-v1-gpu1,fork-to-zero-mechanism-v1-gpu1,fork-to-zero-mechanism-v1-gpu1/ideas/idea-0020-straight-through-retention-gradient-floor/v001,1,0.1378397750454871,0.0,0.15177270519669742,0.0,0.16397743670470943,0.0,0.10312467773538209,0.0,0.03013700281479606,0.0,-0.07298767492058603,0.0,0.09723559211613819,0.0,-0.0058890856192438945,0.0
c185fd1b498fcdf7b5ee575feac207631e14b275,fork-to-zero-mechanism-v1-gpu0,fork-to-zero-mechanism-v1-gpu0,fork-to-zero-mechanism-v1-gpu0/ideas/idea-0012-retention-conditioned-write-budget/v001,1,0.13777900248002203,0.0,0.15149678826808874,0.0,0.16389681056806635,0.0,0.1692305088761402,0.0,0.17145012515859137,0.0,0.002219616282451181,0.0,0.19699387349053446,0.0,0.02776336461439427,0.0
c2082ab3b8cf94baf7f28bfa9fdc13a0fb79b96f,fork-to-zero-mechanism-v1-gpu1,fork-to-zero-mechanism-v1-gpu1,fork-to-zero-mechanism-v1-gpu1/ideas/idea-0026-upper-tail-delta-addressing-cap/v001,1,0.13731359679235436,0.0,0.1508250128201261,0.0,0.16337733629590903,0.0,0.16892462583195378,0.0,0.17098108949150223,0.0,0.002056463659548452,0.0,0.1974060840555106,0.0,0.028481458223556827,0.0
c37085d1533231f1a42e1fe130923f39da2a69f0,fork-to-zero-mechanism-v1-gpu1,fork-to-zero-mechanism-v1-gpu1,fork-to-zero-mechanism-v1-gpu1/ideas/idea-0020-straight-through-retention-gradient-floor/v001,1,0.13784167505203523,0.0,0.15179343948754534,0.0,0.16416317819912993,0.0,0.16975046681378375,0.0,0.1720015824145582,0.0,0.002251115600774456,0.0,0.19781611014401013,0.0,0.028065643330226375,0.0
cb3c8e854850b3b91a0b72a20b51aa88fdf09321,fork-to-zero-mechanism-v1-gpu0,fork-to-zero-mechanism-v1-gpu0,fork-to-zero-mechanism-v1-gpu0/ideas/idea-0024-groupwise-feature-selective-retention/v001,1,0.1377714096770638,0.0,0.151758885482745,0.0,0.16427374576995105,0.0,0.16951163697387825,0.0,0.17183902120493522,0.0,0.002327384231056967,0.0,0.19774960944452136,0.0,0.028237972470643108,0.0
cf414918523b872d21c1294aeb67bc2fc885de18,fork-to-zero-mechanism-v1-gpu0,fork-to-zero-mechanism-v1-gpu0,fork-to-zero-mechanism-v1-gpu0/ideas/idea-0003-decoupled-retention-and-write-gates/v001,1,0.13780368487053343,0.0,0.15160473613195677,0.0,0.16381089670084856,0.0,0.16939103921402557,0.0,0.171556013038257,0.0,0.00216497382423142,0.0,0.19743726430926575,0.0,0.028046225095240185,0.0
cf638e32a39a0c5569166470782c1e70f1a51bcd,fork-to-zero-mechanism-v1-gpu1,fork-to-zero-mechanism-v1-gpu1,fork-to-zero-mechanism-v1-gpu1/ideas/idea-0012-mean-preserving-complementary-allocation/v001,1,0.13774104683195593,0.0,0.1516576177621402,0.0,0.16350555918901244,0.0,0.16838418535731126,0.0,0.17080002732800437,0.0,0.002415841970693111,0.0,0.195928603616842,0.0,0.027544418259530745,0.0
d37dbe1136e77aec1aecb4ab3657bf97d339ef12,fork-to-zero-mechanism-v1-gpu1,fork-to-zero-mechanism-v1-gpu1,fork-to-zero-mechanism-v1-gpu1/ideas/idea-0023-unit-norm-delta-addressing/v001,1,0.1378397750454871,0.0,0.15179343948754534,0.0,0.16421439831844456,0.0,0.16994374861920705,0.0,0.17208742040956806,0.0,0.0021436717903610125,0.0,0.19793357349273583,0.0,0.027989824873528774,0.0
d715e8c0c43c4c5a3cae7d569f2449c851fd83ae,fork-to-zero-mechanism-v1-gpu1,fork-to-zero-mechanism-v1-gpu1,fork-to-zero-mechanism-v1-gpu1/ideas/idea-0008-complementary-retention-write-coupling/v001,1,0.13773156118724605,0.0,0.15148531349885627,0.0,0.1638645823091797,0.0,0.1692820747211078,0.0,0.17137666878031227,0.0,0.00209459405920448,0.0,0.19728924576321347,0.0,0.028007171042105677,0.0
d78195482d94621fb96c04040b6801112a6e0504,fork-to-zero-mechanism-v1-gpu0,fork-to-zero-mechanism-v1-gpu0,fork-to-zero-mechanism-v1-gpu0/ideas/idea-0003-decoupled-retention-and-write-gates/v001,1,0.13781887842996735,0.0,0.1516921256617569,0.0,0.16406352539703373,0.0,0.1693652191585936,0.0,0.171609006040637,0.0,0.002243786882043408,0.0,0.19754647280772802,0.0,0.02818125364913443,0.0
d7b28e96642a157d19a3a02e219181517b8807a4,fork-to-zero-mechanism-v1-gpu0,fork-to-zero-mechanism-v1-gpu0,fork-to-zero-mechanism-v1-gpu0/ideas/idea-0030-gate-confidence-recurrent-readout/v001,1,0.13679703424029765,0.0,0.15138441043341358,0.0,0.1636955916777161,0.0,0.16944270294999747,0.0,0.17165613842351005,0.0,0.002213435473512576,0.0,0.19722309876932786,0.0,0.027780395819330395,0.0
e60f17b3e76f06b144ec2bb9a0446dcbc26fba3b,fork-to-zero-mechanism-v1-gpu0,fork-to-zero-mechanism-v1-gpu0,fork-to-zero-mechanism-v1-gpu0/ideas/idea-0024-groupwise-feature-selective-retention/v001,1,0.13777520597393292,0.0,0.15168752370117558,0.0,0.1641874363773684,0.0,0.1694111269228163,0.0,0.17165613842351005,0.0,0.0022450115006937554,0.0,0.1975542780378909,0.0,0.02814315111507462,0.0
ee32db561577c016a60d8db301d8998470a3567f,fork-to-zero-mechanism-v1-gpu0,fork-to-zero-mechanism-v1-gpu0,fork-to-zero-mechanism-v1-gpu0/ideas/idea-0012-retention-conditioned-write-budget/v001,1,0.1377809008115295,0.0,0.15149678826808874,0.0,0.1638887523149286,0.0,0.1692276450280918,0.0,0.17143542884572527,0.0,0.0022077838176334796,0.0,0.19701716019465293,0.0,0.02778951516656114,0.0
efd44f20b946dae1741e97842192696bc98ba2d2,fork-to-zero-mechanism-v1-gpu0,fork-to-zero-mechanism-v1-gpu0,fork-to-zero-mechanism-v1-gpu0/ideas/idea-0018-directional-state-norm-protection/v001,1,0.13779798814937302,0.0,0.15165531779371844,0.0,0.1640823693494134,0.0,0.1693795626619692,0.0,0.1716001716001716,0.0,0.0022206089382023897,0.0,0.19753866819429905,0.0,0.028159105532329837,0.0
fc3c4e6097cfdbcf251f07126bbd1aa0c42d2219,fork-to-zero-mechanism-v1-gpu1,fork-to-zero-mechanism-v1-gpu1,fork-to-zero-mechanism-v1-gpu1/ideas/idea-0008-complementary-retention-write-coupling/v001;fork-to-zero-mechanism-v1-gpu1/ideas/idea-0012-mean-preserving-complementary-allocation/v001,2,0.13773156118724605,0.0,0.15148531349885627,0.0,0.16384713547660446,3.9864102437943846e-05,0.1692333745659801,2.4301790507768673e-05,0.17136932722073434,1.4536144251093037e-05,0.0021359526547542335,9.765646256675634e-06,0.19732038980725355,1.651886410929009e-05,0.028087015241273453,4.082065461705876e-05
